Workrequest_ID,Title,Property_ID,Destination_ID,Contractor,Date,Status,Priority,Description,Workreport_ID
w1,Gera kjarnaofn subcritical,FS2,L1,já (þarf að eiga gúmmígalla) ,12/12/21,open,Now,OK-650VV kjarnaofninn er voru hannaðir um 1970. Þeir eiga það þó til að ofhitna ef þeim er ekki sint sem skyldi.Reglulega (amk. 1 sinni í viku) þarf sáldra smá boron í kerfið. ATH! Við þetta þarf verktaka sem á góðan gúmígalla því þetta er allt frekar blautt og heitt. Svo er ekki verra að vita eitthvað hvað maður er að gera,None
w2,Hengja upp jólaskrautið,FS2,L1,nei,01/11/21,closed,ASAP,Þar sem hótelið er ekki að nýta öll 190 mega vöttin sem OK-650VV getur búið til hefur verið ákv. að á hverju ári skuli sett upp einhver sú skrautlegasta jólaskrauts útstilling sem sögur fara af. Skal hefjast handa við að hengja upp skrautið 1 nóv. ár hvert,wrep1
w3,Taka niður jólaskrautið,FS2,L1,nei,10/01/21,open soon,ASAP,Þar sem hótelið er ekki að nýta öll 190 mega vöttin sem OK-650VV getur búið til hefur verið ákv. að á hverju ári skuli sett upp einhver sú skrautlegasta jólaskrauts útstilling sem sögur fara af. Skal hefjast handa við að taka það niður 10 jan. ár hvert,None
w4,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,15/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w5,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,16/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep3
w6,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,17/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w7,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,18/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w8,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,19/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w9,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,20/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w10,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,21/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w11,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,22/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w12,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,23/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w13,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,24/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w14,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,25/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w15,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,26/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w16,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,27/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
w17,Kæla niður snjóhús og stoppa í glufur,FN1,L2,nei,28/07/21,closed,Emergency,Rétt yfir há sumartímann þarf að ditta að iGlú-ville húsunum (öllum). Aðalega þarf að bæta við snjó og passa að það sé ekki komin göt á veggi osfrv.,wrep2
