Name,SSN,Email,Address,Phone,GSM,Destination,Title
Jan Jacobsen,123456-0001,jan.jacobsen@nanair.is,Vei 230 12. Longyearbyen,+45 92 09 77 00,+354 777 1337,Svalbard - Longyearbyen,Manager
Jacob Yxa,123456-0002,jacob.yxa@nanair.is,Longyearbyen,+47 92 09 77 01,+354 777 1338,Svalbard - Longyearbyen,Employee
Nanna Daema,123456-0003,nanna.daema@nanair.is,Ivan Starostin st. 109. Barantsburg,+47 92 09 77 02,+354 777 1339,Svalbard - Longyearbyen,Employee
Minik Wallace,123456-0004,minik.wallace@nanair.is,Isaajap Aqqutaa 1. 3900 Nuuk,+299 34 24 67,+354 777 1361,Greenland - Nuuk,Manager
Aqqaluk Lynge,123456-0005,aqqaluk.lynge@nanair.is,Qattaaq 44. 3905 Nuuk,+299 35 24 66,+354 777 1362,Greenland - Nuuk,Employee
Nauja Lynge,123456-0006,nauja.lynge@nanair.is,Qunguleq 3759. 3905 Nuuk,+299 31 21 64,+354 777 1363,Greenland - Nuuk,Employee
Annette Djurhuus,123456-0007,annette.djurhuus@nanair.is,Tjarnardeild 8. 100 Tórshavn,+298 772000,+354 777 1381,Faroe Islands - Tórshavn,Manager
Áki Knudsen,123456-0008,aki.knudsen@nanair.is,Traðartún 3. 108 Argir,+298 617210,+354 777 1381,Faroe Islands - Tórshavn,Employee
André Hjaltalin,123456-0009,andre.hjaltalin@nanair.is,Í Lágni 19. 100 Tórshavn,+298 661441,+354 777 1382,Faroe Islands - Tórshavn,Employee
Guðjón,121101-2890,gudjon@onmyplaystation.com,eplagarður 3,+354 6969 691,+354 1969 969,Svalbard - Longyearbyen,Employee
