Workreport_ID,Employee_SSN,Contractor_ID,Contractor_review,Contractor_remuneration,Total_cost,Description,Approved,Manager_comment
wrep1,123456-0002,N/A,N/A,N/A,30.000.-,Gekk vel fékk fríar piparkökur:),True,Mjög vel gert!
wrep2,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep3,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep4,123456-0005,N/A,N/A,N/A,10.000.-,Gekk allt í lagi,False,None
wrep5,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep6,123456-0005,N/A,N/A,N/A,10.000.-,Gekk mjög vel,False,None
wrep7,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep8,123456-0006,N/A,N/A,N/A,10.000.-,Gekk eins og í sögu,False,None
wrep9,123456-0005,N/A,N/A,N/A,10.000.-,Chuck ætti að gefa mér stöðuhækkun fyrir þetta verk!,False,None
wrep10,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep11,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep12,123456-0005,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep13,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep14,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep15,123456-0005,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep16,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep17,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep18,123456-0005,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep19,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep20,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep21,123456-0005,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep22,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep23,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep24,123456-0005,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep25,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep26,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep27,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rose vel,False,None
wrep28,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep29,123456-0006,N/A,N/A,N/A,10.000.-,Gekk allt í lagi,False,None
wrep30,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep31,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep32,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep33,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep34,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep35,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep36,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep37,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep38,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep39,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep40,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep41,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep42,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep43,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep44,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep45,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep46,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep47,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep48,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep49,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep50,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep51,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep52,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep53,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
